feature,importance
n_matches,0.15818347
log_mv_prev,0.1250128
win_rate_with_player,0.07911769
consistency_mean,0.06215368
war_norm,0.056183685
mp,0.048234332
is_international,0.044596378
points,0.04161289
age_sq,0.03322759
season_start_centered,0.031782404
age_used,0.027444325
consistency_std,0.025632506
gc_x_min_share,0.025431141
starts,0.022170214
mv_change_pct,0.02173958
minutes_share,0.020215506
value_momentum,0.020115081
log_epl_exp,0.017567217
pos_GK,0.015702121
log_minutes,0.011907896
win_rate_without_player,0.010982015
nationality_freq,0.008700354
season_improvement_rate,0.008479915
consistency_score,0.007683254
goal_contributions_p90,0.007525098
pos_DF,0.0074490565
transfer_flag_num,0.0067270338
foot_code,0.006210788
pos_FW,0.0061838096
pos_MF,0.0061438996
consistency_cv,0.0052642575
yellow_cards_p90,0.005082658
height_cm,0.00493517
goals_p90,0.0046831383
team_dependency_score,0.0045962497
assists_p90,0.0041139396
red_cards_p90,0.0037217275
big6_contribution_p90,0.0034871446
pos_Unknown,0.0
