feature,importance
n_matches,0.13814688
log_mv_prev,0.13120897
win_rate_with_player,0.10269682
consistency_mean,0.06148548
mp,0.04734681
war_norm,0.047128446
is_international,0.041710127
age_sq,0.03603302
consistency_std,0.0345294
points,0.032667227
season_start_centered,0.031109776
starts,0.030144045
age_used,0.024313293
age_premium,0.023643967
mv_change_pct,0.021635883
gc_x_min_share,0.021510659
value_momentum,0.01839063
log_epl_exp,0.016774831
minutes_share,0.015078095
pos_GK,0.014308001
log_minutes,0.010970756
goal_contributions_p90,0.008746562
nationality_freq,0.008358166
consistency_score,0.0075108046
transfer_flag_num,0.0063957805
pos_MF,0.0062419637
win_rate_without_player,0.0060036443
foot_code,0.005805557
pos_DF,0.0052505294
height_cm,0.004951561
yellow_cards_p90,0.004759987
pos_FW,0.0047271326
consistency_cv,0.0047222334
goals_p90,0.004666523
team_dependency_score,0.0044631367
big6_contribution_p90,0.0039078332
season_improvement_rate,0.0035440659
assists_p90,0.0034215003
red_cards_p90,0.0030371605
young_trajectory,0.0026527452
pos_Unknown,0.0
