feature,importance
team_points,0.20454735
min,0.12612204
tackles_p90,0.11731707
age_used,0.10755178
int_p90,0.09386129
consistency_cv,0.08522026
age_sq,0.07678063
epl_experience,0.054968033
goals_p90,0.04147718
nationality_freq,0.03737592
yellow_p90,0.029405326
log_mv_lag,0.025373032
